hour,rank,zone_id,predicted_count,dominant_violation_type,cis_score,has_junction,priority_tier,formula_version,priority_score
7,1,2,44.94,WRONG PARKING,1.5,1,HIGH,1.0,67.41
7,2,36,17.29,WRONG PARKING,0.030277,0,LOW,1.0,0.5235
7,3,7,4.49,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.4925
7,4,29,3.92,NO PARKING,0.038595,1,LOW,1.0,0.1513
7,5,39,5.19,WRONG PARKING,0.026418,0,LOW,1.0,0.1371
8,1,2,44.49,WRONG PARKING,1.5,1,HIGH,1.0,66.735
8,2,36,16.09,WRONG PARKING,0.030277,0,LOW,1.0,0.4872
8,3,7,4.25,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.4662
8,4,29,3.9,NO PARKING,0.038595,1,LOW,1.0,0.1505
8,5,1,3.65,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1328
9,1,2,44.49,WRONG PARKING,1.5,1,HIGH,1.0,66.735
9,2,36,15.23,WRONG PARKING,0.030277,0,LOW,1.0,0.4611
9,3,7,4.2,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.4607
9,4,29,3.87,NO PARKING,0.038595,1,LOW,1.0,0.1494
9,5,1,3.62,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1317
10,1,2,44.49,WRONG PARKING,1.5,1,HIGH,1.0,66.735
10,2,7,3.97,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.4355
10,3,36,11.52,WRONG PARKING,0.030277,0,LOW,1.0,0.3488
10,4,29,3.82,NO PARKING,0.038595,1,LOW,1.0,0.1474
10,5,1,3.7,PARKING IN A MAIN ROAD,0.036384,1,LOW,1.0,0.1346
17,1,2,46.39,WRONG PARKING,1.5,1,HIGH,1.0,69.585
17,2,7,5.11,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.5606
17,3,36,16.57,WRONG PARKING,0.030277,0,LOW,1.0,0.5017
17,4,29,4.51,NO PARKING,0.038595,1,LOW,1.0,0.1741
17,5,39,6.23,WRONG PARKING,0.026418,0,LOW,1.0,0.1646
18,1,2,46.39,WRONG PARKING,1.5,1,HIGH,1.0,69.585
18,2,7,5.11,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.5606
18,3,36,16.57,WRONG PARKING,0.030277,0,LOW,1.0,0.5017
18,4,29,4.51,NO PARKING,0.038595,1,LOW,1.0,0.1741
18,5,39,6.23,WRONG PARKING,0.026418,0,LOW,1.0,0.1646
19,1,2,58.76,WRONG PARKING,1.5,1,HIGH,1.0,88.14
19,2,7,6.85,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.7514
19,3,36,16.09,WRONG PARKING,0.030277,0,LOW,1.0,0.4872
19,4,39,7.83,WRONG PARKING,0.026418,0,LOW,1.0,0.2069
19,5,29,4.62,NO PARKING,0.038595,1,LOW,1.0,0.1783
20,1,2,58.76,WRONG PARKING,1.5,1,HIGH,1.0,88.14
20,2,7,7.11,PARKING IN A MAIN ROAD,0.109697,0,LOW,1.0,0.7799
20,3,36,16.09,WRONG PARKING,0.030277,0,LOW,1.0,0.4872
20,4,39,7.32,WRONG PARKING,0.026418,0,LOW,1.0,0.1934
20,5,29,4.18,NO PARKING,0.038595,1,LOW,1.0,0.1613
